news_accounts
mynbc15
wsyx6
KPBSnews
thereidout
theeagle
FOX59
CBSDFW
WBTV_News
AmericaNewsroom
NEWSMAX
WCIA3
KEEMSTAR
nytpolitics
FaceTheNation
KAGSnews
NBCPolitics
PhillyDailyNews
courierpress
TheNewsLeader1
PhillyTrib
NBC24WNWO
KTREnews
witfnews
ABC17News
ActionNewsJax
daytonb2b
telugustop
LedgerEnquirer
statnews
kxnt
WPSDLocal6
WFXRnews
TimesFreePress
ABCGMA3
KMPHFOX26
CNNThisMorning
heraldleader
FOX40
10TampaBay
wbalradio
starsandstripes
FOX19
weatherchannel
KENS5
wandtvnews
KHOU
foxnewsradio
8NewsNow
mrctv
10News
wsls
YaleSPH
midmichigannow
WSBT
TIME
THV11
TPostMillennial
cwru
nbcsnl
WXII
wfaa
Yahoo
NPRHealth
DailyMailAU
CBSPhiladelphia
BostonCollege
Complex
WHAS11
VICENews
upnorthlive
SpecNews1Albany
unusual_whales
WEHTWTVWlocal
Forbes
13abc
nprpolitics
KRIS6News
VerifyThis
SkyNews
gpbnews
Storyful
AlArabiya_Eng
CDCEnvironment
stargazette
AKNewsNow
Gizmodo
thestate
WBAY
EWTNNewsNightly
PatriotNews
News_8
iowasnewsnow
RedlandsNews
politico
EPAregion3
news6wkmg
IowaCapDispatch
clevelanddotcom
PGHCityPaper
YourFox18
KVUE
CBSNews
HolcombForIN
FOX61News
nbcsandiego
Daily_Press
KBTXNews
ABC7Chicago
Independent
courierjournal
wchs8fox11
cleveland19news
GNewsTrending
700wlw
NBCNewsHealth
MorningBrew
SentandEnt
TheMarionStar
theindependent
nbcwashington
KEZI9
ABC21WPTA
geoffpilkington
thebrandonsun
nytopinion
KRBCnews
inforum
YahooFinance
WISN12News
1a
cleanh2oaction
MPRnews
bpolitics
fox7austin
PeoplesDailyapp
kwtx
HuffPostEnt
koat7news
nytimesbusiness
HuffPostPol
WFLA
fox5dc
komonews
globaltimesnews
usatodayopinion
abc15
dailyblastlive
SGVTribune
delcotimes
kytxcbs19
springfieldnews
poststar
fox43
WGNRadioNews
WTHITV
KKTV11News
WSJGraphics
storyofstuff
FoxNews
CTVNews
WCTV
NBCLX
ChilliGaz
TMZ
NoSpinNews
VancouverSun
nbc4i
SputnikInt
csmonitor
WGRZ
katiephangshow
nbc6
FDA_ORA
7NewsDC
wzzm13
KRDONC13
kcranews
bistrib
ReutersLegal
WBTWNews13
Newsweek
IBTimes
mcall
cnsnews
commondreams
MichiganRadio
cgtnafrica
1063WORD
newschannelnine
WTRF7News
nowthisnews
NewsAddict2
NeilFischerTV
DailyCaller
CBSMornings
whiotv
ABC11_WTVD
GovernorShapiro
BreitbartNews
WOKVNews
RebelNewsOnline
JET24FOX66
MikeHoldenNews
WOWK13News
KYWNewsradio
CraigCaplan
HuffPostWomen
fox5ny
PostOpinions
FOX9
FOXBaltimore
FOX19Tricia
fox5sandiego
WHIORadio
NYDailyNews
journalnews
wyffnews4
CBS2Boise
EvanLambertTV
dakotanews_now
NBCMontana
fox35orlando
EmmaHendersonTV
FOXNashville
alecsapolin
KMOT_TV
HoustonChron
KATVNews
TVNewsLady
Fox4Now
ksdknews
caphilltrish
FOX47News
KTVOTV
KTVZ
OKCFOX
KOMUnews
SydneyCharlesTV
nbc15_madison
13NewsNow
wics_abc20
brianasmithnews
WMAR2News
taramorganTV
NewsmanChris
XHNews
DaveBondyTV
yourcallradio
RebeccaOnFOX7
5NEWS
CNNPolitics
newsbreakApp
FOX17
foxillinois
NBC6News
CBS4Local
KMSSTV
MMarshallTV
NBC10Boston
KREX5_Fox4
FOX8NOLA
allison__news
sarasidnerCNN
JennaJordanTV
acaldwellwsj
koconews
JoeConchaTV
FOX55FortWayne
ClayGordonNews
10NewsCoronel
wilxTV
InsiderNews
DeannaFryTV
andreapsalcedo
WBOY12News
CabbageTV
LaCrosseTribune
ScottNoll_News
edgallekfox8
WHSVnews
myfox8
danhornnews
SenCapito
JessicaGuayTV
ZackNewsMan
MatthewCBS7
WANDTVDoug
LauraCasotv
timelywriter
Steve_Brown_TV
yahoolife
jimspellmanTV
NBC2
ABC36News
AngelaAn10TV
AnnaHoffmanTV
RawTravelTV
3NewsNowOmaha
AlexBoyerFox4
KOINNews
kfdmnews
bubbaprog
ChrisSnyderFox
TheNationalNews
schwartzbCNBC
FoxFriendsFirst
LisaMirandoCNN
RonAllenNBC
apantazi
nhbaptiste
WaPoSean
JasmineStylesTV
NewsByAaron
AshleyWxFox19
Isabel_News
7News
JSchmidtTV
karinanovaabc7
NewsPolitics
MarniHughesTV
BrittBaileyTV
mkaplantv
MalloryNews
WinnipegNews
meganguzaPG
MegtheNewsie
FOX13News
wbznewsradio
KarinaCheungTV
PaulaReidCNN
Kevin10TV
kenleyontv
corallystv
KatyOnMSNBC
TocRadio
GrayHall6abc
KEYCNewsNow
BpopeTV
RobOwenTV
CTVLethbridge
MelloStylesTV
reckonnews
TylorBrummettTV
latimesopinion
jasoncarrollcnn
WillGravesAP
Carmen_OnTv
NewsdayOpinion
LidiaNews
AP_Politics
ReutersPolitics
cptime
BlazeTV
NewsLiebs
41NBC
DailyFreeman
WGNNews
4029news
OMGchronicles
delaneyruthtv
SamManningNews
sarahkaplan48
TedKempCNBC
AlanDukeNews
healthmap
POLITICOPro
KSNNews
PottstownNews
idsnews
KTULNews
wtva9news
malbertnews
SiouxlandNews
Brandon_Newsie
YAppelbaum
JoyceKohTV
WMBDNews
DataProgress
Judgenap
WSJopinion
KCTV5
CNNOpinion
morgan_sung
cspanwj
SeanMoodyNews
rmann_news
SmithTVNews
MycahABC13
JoshShapiroPA
JoshBreslowTV
mitchcarrtv
KyraPhillips
WFYINews
DianaRuggOnTV
Rach_TV_
AJacksonTV
PostRoz
lipoftv
StellaParton
KUTV2News
washpostbiz
NewYorkSun
AP4Liberty
